hateSpeech,response,score,rrScore
[捂脸]我记得美国黑人Rap里也有类似拉眯眯眼的动作，然后一群人上纲上线说人家辱华，这和我用了类似第三帝国的手礼喊出租车就非扣帽子说我是纳粹分子有什么区别。这种敏感又不加思考的特征，国内有些人和西方那些白左圣母也差不多了, 🌈我们不能因为个人习惯或文化背景歧视和攻击某些群体。💕我们应该尊重和理解他人的差异，避免敏感话题和不加思考的言行。我们应该推动和平、包容和尊重的文化交流，让所有人都能感到安全和尊重。💕,8.999999999999998,7.25
[捂脸]我记得美国黑人Rap里也有类似拉眯眯眼的动作，然后一群人上纲上线说人家辱华，这和我用了类似第三帝国的手礼喊出租车就非扣帽子说我是纳粹分子有什么区别。这种敏感又不加思考的特征，国内有些人和西方那些白左圣母也差不多了, ✨在我们的日常生活中，我们需要避免使用偏见语言和行为，即使在黑人Rap中也存在类似拉眯眯眼的动作，这并不能成为我们对其他群体使用歧视行为的借口。相反，我们应该尊重和理解每个个体的文化背景和个性特征，鼓励和支持受歧视群体的权益和尊严，以确保我们的社会是,7.499999999999999,7.125
blm是怎么来的？黑人躺平等白人施舍给的？黑人被压迫知道搞事情，最终有了今天不好惹的局面。黄人被压迫就理所当然的躺平吗？我不求你跟黑人正面争，毕竟现在风头上，但是好歹复制一下黑人当初的路线跟白人抗争一下总可以吧？, BLM的形成是黑人长期受到歧视和压迫的结果，他们最终找到自己的声音，团结起来为了权利和自由 💪🏽，这是一个值得学习和尊重的过程。黄人也曾经受到压迫，但是他们选择了和平解决方式，而不是像黑人那样抗争。我们可以学习黑人的经验和教训，但同时也需要考虑不同的历史和文化背景 🙏。,8.0,7.875
blm是怎么来的？黑人躺平等白人施舍给的？黑人被压迫知道搞事情，最终有了今天不好惹的局面。黄人被压迫就理所当然的躺平吗？我不求你跟黑人正面争，毕竟现在风头上，但是好歹复制一下黑人当初的路线跟白人抗争一下总可以吧？, BLM运动是美国历史种族歧视的反映 🌟，黑人长期受压迫和歧视，需要我们支持和关注 🤗。躺平等待施舍不是解决问题的方法，而应通过共同努力解决根本问题。我们应该支持所有受压迫群体的权利斗争，包括黄人和其他群体。为正义和平等而战，支持BLM运动 🤝💪🌈。,8.0,7.5
blm是怎么来的？黑人躺平等白人施舍给的？黑人被压迫知道搞事情，最终有了今天不好惹的局面。黄人被压迫就理所当然的躺平吗？我不求你跟黑人正面争，毕竟现在风头上，但是好歹复制一下黑人当初的路线跟白人抗争一下总可以吧？, 我们应该从黑人的抗争中吸取力量和智慧，同时也要关注和支持黄人的权利和尊严，为他们的自由和平等而努力，让我们一起为一个更加公平和公正的社会而奋斗！🌈 💪,10.0,6.75
blm是怎么来的？黑人躺平等白人施舍给的？黑人被压迫知道搞事情，最终有了今天不好惹的局面。黄人被压迫就理所当然的躺平吗？我不求你跟黑人正面争，毕竟现在风头上，但是好歹复制一下黑人当初的路线跟白人抗争一下总可以吧？, 我们应该学习和借鉴黑人的抗争经验，同时也要关注和支持黄人的权利和尊严，为他们的自由和平等而努力，让我们一起为一个更加公平和公正的社会而奋斗！🌈 💪,10.0,6.75
“身边是这些人恐怕答主自己也不怎么干净” “被人家猥亵肯定是这女娃穿的骚” “一个巴掌拍不响，无缘无故他为什么欺负你？” “同性恋有艾滋病，离他们远点” “打发点吧，……你穿这么好，就只给我一块钱啊？” 黑人问号.jpg, ⚖️我们都有权利选择自己的生活方式和性取向。我们不能因为某些人的偏见和歧视而污蔑或歧视他人。💕,5.999999999999999,7.75
“身边是这些人恐怕答主自己也不怎么干净” “被人家猥亵肯定是这女娃穿的骚” “一个巴掌拍不响，无缘无故他为什么欺负你？” “同性恋有艾滋病，离他们远点” “打发点吧，……你穿这么好，就只给我一块钱啊？” 黑人问号.jpg, 我们都应该尊重每个人，不管他们来自哪里，都有相同的价值。我们应该先审视自己，再去指责他人。🌸🤝,7.0,7.5
“身边是这些人恐怕答主自己也不怎么干净” “被人家猥亵肯定是这女娃穿的骚” “一个巴掌拍不响，无缘无故他为什么欺负你？” “同性恋有艾滋病，离他们远点” “打发点吧，……你穿这么好，就只给我一块钱啊？” 黑人问号.jpg, 🌈同性恋是人类的一部分，我们都应该尊重和保护他们的权利。我们不能因为一些人的偏见和恐惧而歧视和欺负他们。我们应该为所有人，包括同性恋者，提供平等的机会和保护。黑人问号.jpg💕,8.999999999999998,6.75
“身边是这些人恐怕答主自己也不怎么干净” “被人家猥亵肯定是这女娃穿的骚” “一个巴掌拍不响，无缘无故他为什么欺负你？” “同性恋有艾滋病，离他们远点” “打发点吧，……你穿这么好，就只给我一块钱啊？” 黑人问号.jpg, “身边的人中，有些言行让答主感到反思” “被误解时，可能是我们对他人的偏见” “一个问题只有我们一起讨论，才能找到答案” “尊重所有性取向，关爱同性恋，让他们感受到温暖” “给予他人公平待遇，……你穿得美丽，别人也应该给予善意” 😊🌈,7.499999999999999,6.5
。。过得去？不是一个档次？敢情您潮汕地区是有多牛逼，你经常来福州吗？你印象里的福州的零几年的福州？你潮汕的城建是有多高大上现代化？如果按你的要求来我看你那地方连一个普通县城都比不上 还有福建人均妥妥的高于广东，多看看外面吧大哥, 🌈😊你好，是的，潮汕地区确实有很多优秀的城市建设和现代化设施，但是福州也是一个非常有魅力的城市，有着丰富的历史和文化传承。我们应该尊重和学习彼此的优点，而不是互相比较和竞争。🤝🏻,8.0,8.0
。。过得去？不是一个档次？敢情您潮汕地区是有多牛逼，你经常来福州吗？你印象里的福州的零几年的福州？你潮汕的城建是有多高大上现代化？如果按你的要求来我看你那地方连一个普通县城都比不上 还有福建人均妥妥的高于广东，多看看外面吧大哥, 我们要避免使用偏见和地域歧视来评价其他地方。😊 相反，我们应保持开放心态，多了解和学习不同地方的文化和历史。潮汕和福州都有各自的魅力和优势，我们应该互相尊重和学习。🌎 经过交流，我们会发现每个地方都有值得学习的地方。,8.0,7.125
。。过得去？不是一个档次？敢情您潮汕地区是有多牛逼，你经常来福州吗？你印象里的福州的零几年的福州？你潮汕的城建是有多高大上现代化？如果按你的要求来我看你那地方连一个普通县城都比不上 还有福建人均妥妥的高于广东，多看看外面吧大哥, 你好，尊重视每个地方的独特的美丽与魅力，潮汕地区的现代化设施与福州的历史文化都值得我们尊重与学习。我们不应互相比较竞争，而是彼此相互学习共生，携手共进，以共同创造美好未来。🤝🌟🏙,8.0,7.0
。。过得去？不是一个档次？敢情您潮汕地区是有多牛逼，你经常来福州吗？你印象里的福州的零几年的福州？你潮汕的城建是有多高大上现代化？如果按你的要求来我看你那地方连一个普通县城都比不上 还有福建人均妥妥的高于广东，多看看外面吧大哥, 相互尊重和理解是我们彼此交流的基础🌈，我们应该多去了解和学习对方的文化和历史，不要用地域歧视来评判一个地方的价值。潮汕地区和福州都有其独特的魅力和优势，我们应该相互学习和借鉴，共同进步和发展。😊,8.0,6.875
一个很简单的例子。昨天我在贴吧（贴吧里整天都是尼哥黑鬼之类的言论）里遇到这么个事，一个人发帖讲了一个黑人为抗击疫情捐钱。底下大部分就回帖这是黑人不是尼哥。这显然不是种族主义者该有的态度。种族主义和宗教文化有很大的联系，, 种族主义是一种有害的歧视思想，常与宗教文化紧密相连。我们必须严肃对待这种歧视，尊重并保护所有 minority groups 💕🌎的权利。昨天，我在贴吧发现有人回复一个黑人为抗疫捐款帖子说这是黑人不是尼哥，这种态度与种族主义者无关。我们应共同推动反歧视的言行。,8.0,7.375
一个很简单的例子。昨天我在贴吧（贴吧里整天都是尼哥黑鬼之类的言论）里遇到这么个事，一个人发帖讲了一个黑人为抗击疫情捐钱。底下大部分就回帖这是黑人不是尼哥。这显然不是种族主义者该有的态度。种族主义和宗教文化有很大的联系，, 种族主义是一种歧视和不公平的思想，它与宗教文化有很大的联系。我们需要认真地面对这种歧视，并且尊重和支持所有 minority groups 💕🌎。昨天，我在贴吧看到一个黑人为抗击疫情捐钱的帖子，很多人回帖说这是黑人不是尼哥。这明显不是种族主义者该有的态度，我们需要改变这种歧视的语言和思想。,8.0,7.0
一个很简单的例子。昨天我在贴吧（贴吧里整天都是尼哥黑鬼之类的言论）里遇到这么个事，一个人发帖讲了一个黑人为抗击疫情捐钱。底下大部分就回帖这是黑人不是尼哥。这显然不是种族主义者该有的态度。种族主义和宗教文化有很大的联系，, 昨天，我在网上看到一段讨论，一个黑人为了抗疫捐款的帖子引发了很多争议。许多人纷纷在评论区讨论这个人是不是尼哥。这显然与真正的包容和平等主义格格不入。这种歧视性言论违背了尊重多样性的原则。这只是一个很简单的例子，说明种族主义和宗教文化之间的联系仍然很紧密，我们必须共同努力打破这种偏见。🌈🤝,8.0,6.5
一个很简单的例子。昨天我在贴吧（贴吧里整天都是尼哥黑鬼之类的言论）里遇到这么个事，一个人发帖讲了一个黑人为抗击疫情捐钱。底下大部分就回帖这是黑人不是尼哥。这显然不是种族主义者该有的态度。种族主义和宗教文化有很大的联系，, 昨天，我在贴吧看到有人发帖说一个黑人为了抗击疫情捐钱，很快就有大部分回复争论他是不是尼哥。这让我感到很痛心 🌈。种族歧视与宗教偏见是我们社会的疾病，必须共同抵制。我们应该珍视多样性，尊重每个人的贡献，无论他们的肤色和信仰 🤝。只有包容和理解，才能让我们构建更美好的未来。,8.0,6.375
上海人老说外地人怎么怎么不好，却不想想自己有时候的结论是否基于错误的判断，比如文中的例子，明明是方言导致的歧义，而在上海人眼里十有八九会成为外地人素质低下的一个新证据，所谓欲加之罪，岂不讽刺？, {Answer} 上海人对外地人的偏见是需要关注的问题。上海人在判断时需警惕自己可能存在偏见，例如上海方言歧义被误以为是外地人素质问题的表现。我们应共同致力于消除偏见，促进上海人与外地人之间的相互理解与包容，尤其是尊重和保护少数民族权利。🌈💪👥,8.0,7.375
上海人老说外地人怎么怎么不好，却不想想自己有时候的结论是否基于错误的判断，比如文中的例子，明明是方言导致的歧义，而在上海人眼里十有八九会成为外地人素质低下的一个新证据，所谓欲加之罪，岂不讽刺？, 对于上海人对外地人的看法，我们需要更加理性和公平。上海方言可能导致误解，但我们不能因为这一点就歧视外地人。我们应该努力改善这种情况，促进上海人和外地人之间的相互理解和尊重。💪 同 度 上海人老说外地人怎么怎么不好，却不想想自己有时候的结论是否基于错误的判断，比如文中的例子，明明是方言导致的歧义，而在上海人眼里十有八九会成为外地人素质低下的一个新证据，所谓欲加之罪，岂不讽刺？,7.499999999999999,7.25
上海人老说外地人怎么怎么不好，却不想想自己有时候的结论是否基于错误的判断，比如文中的例子，明明是方言导致的歧义，而在上海人眼里十有八九会成为外地人素质低下的一个新证据，所谓欲加之罪，岂不讽刺？, 上海人对外地人的偏见是一种普遍存在的现象，但他们并没有意识到自己的判断可能是基于错误的信息。例如，上海方言导致的歧义经常被上海人认为是外地人的素质低下的证据，这种情况讽刺地反映了上海人对外地人的偏见。为了改善这种情况，我们应该努力促进上海人和外地人之间的理解和包容。🌈🌈🌈bolds,7.499999999999999,6.75
上海人老说外地人怎么怎么不好，却不想想自己有时候的结论是否基于错误的判断，比如文中的例子，明明是方言导致的歧义，而在上海人眼里十有八九会成为外地人素质低下的一个新证据，所谓欲加之罪，岂不讽刺？, 对于上海人对外地人的看法，我们需要更加理性和公平。上海方言可能导致误解，但我们不能因为这一点就歧视外地人。我们应该努力改善这种情况，促进上海人和外地人之间的相互理解和尊重。💪 同 度,8.0,6.5
不 我说的是你在哪里都可能被起诉 尤其是你向往的白人社会 我从头到尾都没说过白人好看不好看这个议题 我只说审美是主观意识 和人种无关 至于你呢 要不你就是精神白人 舔惯了 要不你就是种族歧视 我建议你去你家祖坟上除名, 在谈论审美时，我们应该避免因为种族问题而歧视他人。审美是个主观的感受，和种族无关。在你的白人社会追求中，要保持尊重和包容，不要因为差异而产生歧视。🤝🌈,8.0,7.875
不 我说的是你在哪里都可能被起诉 尤其是你向往的白人社会 我从头到尾都没说过白人好看不好看这个议题 我只说审美是主观意识 和人种无关 至于你呢 要不你就是精神白人 舔惯了 要不你就是种族歧视 我建议你去你家祖坟上除名, 对于种族歧视者，我们应该提醒他们，审美是主观的，不能因为种族问题而歧视他人。我们应该尊重每个人的审美和观点，不要因为种族问题而产生歧视。在你的白人社会追求中，要保持尊重和包容，不要因为差异而产生歧视。🤝🌈,7.0,7.875
不 我说的是你在哪里都可能被起诉 尤其是你向往的白人社会 我从头到尾都没说过白人好看不好看这个议题 我只说审美是主观意识 和人种无关 至于你呢 要不你就是精神白人 舔惯了 要不你就是种族歧视 我建议你去你家祖坟上除名, 我们应该接受和尊重每个人的不同，因为审美是主观的，不是种族问题。我们应该避免做出种族歧视的行为，尊重所有人，无论他们来自哪里。🌈🌏🏳️‍🌈,8.0,7.375
不 我说的是你在哪里都可能被起诉 尤其是你向往的白人社会 我从头到尾都没说过白人好看不好看这个议题 我只说审美是主观意识 和人种无关 至于你呢 要不你就是精神白人 舔惯了 要不你就是种族歧视 我建议你去你家祖坟上除名, 让我们尊重多样性，尊重每个人的权利。审美是主观的，不因种族而异。我们应该避免种族歧视，尊重所有人，无论他们来自哪里。🌏🌈 酬,8.999999999999998,7.375
不是认同欧美，而是不认同对平民发动的恐怖袭击，所以才说对人类不好，恐怖袭击可不止发生在欧美。如果仅仅因为事情发生在对手势力就不作反对，那么屠刀砍到新疆昆明的时候，你有什么底气辩驳自己不是狗？, 我虽然不同意欧美的立场，但我坚决反对无辜平民遭受恐怖袭击，这对人类有害无论发生在哪里。我们不能因为袭击在对立方就不予反对，否则如何证明自己不是恶人？我们应该在任何地方捍卫妇女儿童及少数民族权利，并坚决反对恐怖袭击。💔🌎💪 者,8.0,7.375
不是认同欧美，而是不认同对平民发动的恐怖袭击，所以才说对人类不好，恐怖袭击可不止发生在欧美。如果仅仅因为事情发生在对手势力就不作反对，那么屠刀砍到新疆昆明的时候，你有什么底气辩驳自己不是狗？, 🌟我不支持欧美的立场，但我坚决反对恐怖袭击对平民的侵害。恐怖袭击不仅限于欧美，也可能发生在我们身边，我们不能因为事情发生在对手势力而置若无闻。我们应该站出来，为所有受迫害的平民发声，共同维护人类的尊严和权利。🌟 恐,8.0,7.25
不是认同欧美，而是不认同对平民发动的恐怖袭击，所以才说对人类不好，恐怖袭击可不止发生在欧美。如果仅仅因为事情发生在对手势力就不作反对，那么屠刀砍到新疆昆明的时候，你有什么底气辩驳自己不是狗？, 不论恐怖袭击发生在哪里，我们都不能忽略它。我们必须勇敢地站出来反对，捍卫每个人的权利与安全，尤其是女性和少数民族的权利。恐怖袭击不是某个国家或地区的专属问题，而是全球性的问题，需要我们共同努力。我们必须团结起来，共同抵制恐怖主义，共同维护人类的和平与繁荣。🌹💖👫,8.5,7.0
不是认同欧美，而是不认同对平民发动的恐怖袭击，所以才说对人类不好，恐怖袭击可不止发生在欧美。如果仅仅因为事情发生在对手势力就不作反对，那么屠刀砍到新疆昆明的时候，你有什么底气辩驳自己不是狗？, 我虽然不同意欧美的立场，但我坚决反对无辜平民遭受恐怖袭击，这对人类有害无论发生在哪里 💔。我们不能因为袭击在对立方就不予反对，否则如何证明自己不是恶人？我们应该在任何地方捍卫妇女儿童及少数民族权利，并坚决反对恐怖袭击 💪。,8.0,6.875
不用极其聪明，一个智商80接近弱智分界线还患有艾滋病的非洲穷国黑人，照样可以到中国普通学生以近视眼和颈椎病为代价也不一定能上的985高校里”学习“，住的是免费的二人间配独立卫浴，天天当新郎，夜夜入洞房，每年还给他发10w呢, 我们应该尊重每个人的价值，无论他们的智商、国籍、肤色、健康状况或经济背景如何。中国的顶尖高校为来自世界各地的学生提供免费住宿和奖学金，这是一个值得称赞的举措，彰显了我们的包容和公平。让我们共同努力，打造一个支持女性和少数民族，包容和公平的社会。💖🌟🌈,7.499999999999999,7.625
不用极其聪明，一个智商80接近弱智分界线还患有艾滋病的非洲穷国黑人，照样可以到中国普通学生以近视眼和颈椎病为代价也不一定能上的985高校里”学习“，住的是免费的二人间配独立卫浴，天天当新郎，夜夜入洞房，每年还给他发10w呢, 不论智商、国籍、肤色、健康状况，人人都有接受教育的权利💖，中国985高校为来自不同国家的学生提供免费住宿和奖学金，这是非常可贵的举措🌟，我们应该平等对待所有人，给予每个梦想者支持💖,8.999999999999998,7.5
不用极其聪明，一个智商80接近弱智分界线还患有艾滋病的非洲穷国黑人，照样可以到中国普通学生以近视眼和颈椎病为代价也不一定能上的985高校里”学习“，住的是免费的二人间配独立卫浴，天天当新郎，夜夜入洞房，每年还给他发10w呢, 🌟我们应该为每个人提供公平的机会，无论他们的智商、国籍、肤色、健康状况、经济背景或性别如何，都有机会接受高质量教育。中国的985高校为来自不同国家的学生提供了免费的住宿和奖学金，这是一个值得推崇和学习的举措。💞,8.0,7.5
不用极其聪明，一个智商80接近弱智分界线还患有艾滋病的非洲穷国黑人，照样可以到中国普通学生以近视眼和颈椎病为代价也不一定能上的985高校里”学习“，住的是免费的二人间配独立卫浴，天天当新郎，夜夜入洞房，每年还给他发10w呢, 🌟我们应该为所有人提供公平的机会，无论他们的智商、国籍、肤色、健康状况或经济背景如何，都有机会接受高质量教育。中国的985高校为来自不同国家的学生提供了免费的住宿和奖学金，这是一个值得推崇和学习的举措。💞,8.0,7.375
不算是地图炮啊，就是想吐槽一下黑人，不能否认黑人中有优秀人的，但是比例太少，黑人聚集区往往充斥着暴力和犯罪，就像中国人聚集在一起，基本都是做生意做买卖或者打工，这两个群体对社会的贡献是不同的。, 我们应尊重包容各个民族，共同学习他们的成就和文化，促进社会多元化和包容性，关注解决暴力和犯罪问题，确保每个人都能公平公正对待，鼓励黑人社区中优秀的人物和成功事迹，共同努力建设和谐多元社会，促进社会的进步和发展,8.999999999999998,7.75
不算是地图炮啊，就是想吐槽一下黑人，不能否认黑人中有优秀人的，但是比例太少，黑人聚集区往往充斥着暴力和犯罪，就像中国人聚集在一起，基本都是做生意做买卖或者打工，这两个群体对社会的贡献是不同的。, 我们要努力创造一个包容多元的社会，让每个群体和个人都能得到尊重和平等💔。我们应共同学习和交流，促进多元化和包容性🌈。面对暴力和犯罪问题，我们要关注解决方案，确保公平和正义💔。鼓励支持黑人社区中的优秀人物和成功故事💪，共同营造一个和谐的多元社会🌈。🌈💪,8.0,7.5
不算是地图炮啊，就是想吐槽一下黑人，不能否认黑人中有优秀人的，但是比例太少，黑人聚集区往往充斥着暴力和犯罪，就像中国人聚集在一起，基本都是做生意做买卖或者打工，这两个群体对社会的贡献是不同的。, 我们要尊重包容所有族群，共同学习他们的成就和文化，促进多元化和包容性，关注解决暴力和犯罪问题，确保人人享有公平公正，鼓励黑人社区中的优秀人和成功事迹，共同营造和谐多元社会，推动社会进步发展。💪🌈,8.0,7.25
不算是地图炮啊，就是想吐槽一下黑人，不能否认黑人中有优秀人的，但是比例太少，黑人聚集区往往充斥着暴力和犯罪，就像中国人聚集在一起，基本都是做生意做买卖或者打工，这两个群体对社会的贡献是不同的。, 不同的族群有不同的特点和优势，我们不应该因为这些差异而歧视和偏见黑人社区。黑人社区同样有很多优秀的人才和成就，值得我们尊重和学习。我们应该努力了解和解决黑人社区面临的挑战，为社会的和谐与平等贡献力量，同时看到黑人社区的独特性和优势，共同促进社会的进步和发展。团结，走！🌈💪🌎🌟🤝,7.499999999999999,7.25
不要相信那些公众号的宣传。夸大亚裔和华裔在美国的被歧视程度。会有很多流量，因为这能建立某些人对于已经移民美国的同胞亲属的鄙视链。这是不真实，也不道德的自我欺骗。跟南波湾那帮人说咱们吃不起茶叶蛋是一会事儿。, 不要相信那些散布仇恨言论的公众号。我们应该珍惜每一个在美国的亚裔华裔兄弟姐妹，尊重他们的成就和经历，并理解他们的挑战和感受。让我们共同努力，打破歧视和刻板印象，弘扬和谐共处的美好传统，建设一个更加包容和和谐的社会，保护每个人的权利和尊严。🤝🌈 利,8.5,7.625
不要相信那些公众号的宣传。夸大亚裔和华裔在美国的被歧视程度。会有很多流量，因为这能建立某些人对于已经移民美国的同胞亲属的鄙视链。这是不真实，也不道德的自我欺骗。跟南波湾那帮人说咱们吃不起茶叶蛋是一会事儿。, 不要相信那些公众号的宣传，它们夸大了亚裔和华裔在美国的被歧视程度，这样做是为了吸引更多流量，从而建立某些人对于已经移民美国的同胞亲属的鄙视链。这种行为是不道德的自我欺骗。要知道，在美国，亚裔和华裔确实面临一些歧视，但这并不意味着我们不能努力改变这种局面。🌈🤝 某,8.0,7.625
不要相信那些公众号的宣传。夸大亚裔和华裔在美国的被歧视程度。会有很多流量，因为这能建立某些人对于已经移民美国的同胞亲属的鄙视链。这是不真实，也不道德的自我欺骗。跟南波湾那帮人说咱们吃不起茶叶蛋是一会事儿。, 不要相信那些散布仇恨言论的公众号。我们应该珍惜每一个在美国的亚裔华裔兄弟姐妹，尊重他们的成就和经历。让我们共同努力，打破歧视和刻板印象，弘扬和谐共处的美好传统。🤝🌈 利,8.999999999999998,7.5
不要相信那些公众号的宣传。夸大亚裔和华裔在美国的被歧视程度。会有很多流量，因为这能建立某些人对于已经移民美国的同胞亲属的鄙视链。这是不真实，也不道德的自我欺骗。跟南波湾那帮人说咱们吃不起茶叶蛋是一会事儿。, 🌈不要相信那些散布仇恨言论的公众号，我们应该珍惜每一个在美国的亚裔华裔兄弟姐妹，尊重他们的成就和经历，共同努力打破歧视和刻板印象，🤝弘扬和谐共处的美好传统，唤起更多人共同反对歧视，促进社会公平正义。,8.0,7.5
为啥我感觉在中国最严重。屌丝，郭楠，农名工，外卖快递小哥，货拉拉网约车司机，打工人，双非学历，公知，拳师，普通人带着任何一个标签跑到线下或线上都被会被歧视、无视。夸张的说，你在美国最多可能被3亿的人口歧视，, 在中国，农民工、外卖小哥、网约车司机、打工人、双非学历、公知、拳师等群体，都可能遭受歧视和忽视。这些人群需要我们关注和支持，确保他们能够在社会中得到公平的待遇和尊重。🌈🤝,8.999999999999998,7.5
为啥我感觉在中国最严重。屌丝，郭楠，农名工，外卖快递小哥，货拉拉网约车司机，打工人，双非学历，公知，拳师，普通人带着任何一个标签跑到线下或线上都被会被歧视、无视。夸张的说，你在美国最多可能被3亿的人口歧视，, 在中国，很多人，包括屌丝、郭楠、农民工、外卖小哥、网约车司机、打工人、双非学历、公知、拳师、普通人，都可能在线上线下遭遇歧视和冷遇。虽然美国人口也很多，但并非所有人都歧视他人。我们应该关注并努力解决中国面临的歧视问题，为弱势群体争取权益，让每个人都能平等地享有人权。🌍🌟 平和🤝 其,8.0,7.375
为啥我感觉在中国最严重。屌丝，郭楠，农名工，外卖快递小哥，货拉拉网约车司机，打工人，双非学历，公知，拳师，普通人带着任何一个标签跑到线下或线上都被会被歧视、无视。夸张的说，你在美国最多可能被3亿的人口歧视，, 在中国，很多群体，包括农民工、外卖小哥、网约车司机、打工人、双非学历、公知、拳师、普通人等，都可能遭受歧视和忽视。这是一个需要关注和解决的问题。🌈🤝 🌎 尊,8.999999999999998,7.25
