text,hate_score
你不是中国人吧？我不上当了，要这样延伸只会没完没了。霍顿骂孙杨是吃药的骗子，就是因为孙杨成绩出色么？他就是个种族歧视者，中国有死亡威胁霍顿么？我没看到。这个是我最后一次回复，随你怎么辩驳。,50.0
我只是很奇怪，凭什么黑人被人叫了黑鬼不管做出什么反击行为都是可以理解的？同理的时候，小日子过的不错的日本选手被人叫小日本儿可不可以也这样？中国人被叫支那人东亚病夫的时候是不是也可以这样？怎样把握分寸来即可以最大限度维护尊严有不被人怀疑是过于自卑的玻璃心？,60.0
重男轻女我只能说中国在这方面的问题很严重。4000万单身男性青年就知道了。当然这完全不是他们的错，是父母辈的愚昧造成了这种结果。现代男女都是受害者。万万不可再继续重男轻女，直接会影响国家发展了,50.0
笑死我了，只有你四川人懂？重庆贵州是被你吞了？怪不得一句双面的词被你说得如此严重，MMP我贵州人表示80%都是调侃和开玩笑用，吵架从不用这个，我们只会用，我日你妈的批，草泥马的臭比，真正骂人是会比MMP脏的太多。说了这么多，这些说一句，你懂个锤子,80.0
绕了半天 还是没有说清楚为什么城市女权在叫嚣 乡村女在伤害女人啊 比如现在中国女权在叫嚣 没见他们去拯救中东非洲韩国的女人啊。。。。 她们只是在喊 该动手的时候都没有反抗啊 除了个嘴 和收钱的手 她们还有啥？哦 当然还有。。。。。,50.0
别的不说，早些年我国有些地区不同的民族生的孩子都叫串，这我们还都是中华民族，而留下黑孩的那些，你黑人都不属于中华民族属于异类，那生的孩子被歧视又咋滴？咋滴？黑皮高贵了，怎么不见白人让他们吃西瓜的时候膏贵不起来？,75.0
上次在三里屯 一个中国人 一个黑人还是两个黑人在我前面走不记得了 这是前提 然后国人在吸烟 黑人说了句 no smoking 国人来了句这是中国没事 老子当时在后面跳起来就是想一脚 我和我朋友眼中满满的恶心,50.0
答主你确实文不对题，建议你多去别的地方走走，你会发现你说的很多问题全国很多地方都有，至于你说的小偷，确实是新疆人和河南人居多。再说了，陕西本来就属于西北省份，西安怎么就不是西北城市了？后面怎么还提到胸怀呢？啊呸！,50.0
呵呵，以前我（江苏人）和一个东北人在一块吃饭，那个东北人一个劲骂河南人，骂的那叫一个难听。赤裸裸的地域歧视。 现世报，现在东北成被歧视的地方了。想起几天前的美团不招东北人的新闻就想笑。 活该了你嘞。,50.0
我们中国还处于发展中正是应该谋求合作的时候，但却那么多人学起了西方那套歧视黑人的理论。怎么滴？是想被西方国家洗脑，分裂第三世界？最后搞得自己孤军奋战。也不想想黑人为啥是以这种印象出现在我们的脑海里？,50.0
就落地受点委屈？我不在乎这个委屈好吗？隔离，隔离条件我都没在乎啊。我争论的是现在国内舆论呼吁国家停航，歧视我们留学生。这跟湖北不一样啊，湖北封城了但国家是有措施援助的，你说禁止留学生回国，我们是等死啊没有任何措施。这是一回事吗？,30.0
搞三非好，不止黑人，顺带把东南亚越南仔之类的搞一搞，只要是三非无论黑白黄棕都给他清干净，这东西就只会影响治安。但是你搞那些合法的就不太对头了，不现实，麻烦，还不占理。但耶派还是算了，这玩意，整个就是群体暴力，,80.0
很多真知灼见指出平台审核和监管机制责任，这才是知乎应有的谈论问题的打开方式，讨论问题的本质要害，推动相关方面改善机制，从而解决漏洞。如果按回某人黑东北瑞典人的路子，这特么又是一个黑河南人偷井盖的天赐良机。同是大v，做人的差距真的好大。,50.0
我们这的回民拆迁款是别的地方的几倍。非法占道经营没人敢管。摘了警察的帽子就敢打警察还不会背处理。可以大规模的游行示威，都是聚居的打架斗殴的回民特别多，回民的风评在我们这非常差，小孩子都会被高度离回民的远点…… 反正各种特权坐标天津,75.0
每天看新闻各种杀人事件基本都是变态杀人法，比如把自己老妈分尸后扔海滩然后报警说老妈不见了，把女友分尸后扔海滩，妈妈觉得养不活自己两个儿子就把两个儿子杀了，然后我朋友一周内被当地警察上门通知注意两个猥琐大叔，当然日本肯定还是比较安全的，,80.0
任何时候把少数当多数都是错误的，黑人确实有些不好的行为，关键是白人没有吗？自己人没有吗？不看联合国里各个部门的黑人不也发挥很大作用吗，一边反对种族歧视一边又歧视黑人，拿少数人做法抹黑整个种族就是对的了？,60.0
其实你正常的精日分子，只不过在日本受到歧视后还能保持一个勉强正常的心态。而有些精日或者美分就是心理变态了，日本或者美国越歧视，他就越变本加厉的恨中国恨中国人。中日关系不正常是不应该考虑通婚的。,50.0
我认为波波维奇的发言逻辑完全不通啊，前快船老板因为歧视黑人的录音带遭到联盟球员集体抗议，联盟强迫其出售球队这不正说明言论自由不是完全没约束的吗？难道只要没有损害你美国人的利益的言论，就都是自由的言论吗？只有你美国人知道有些话听了不舒服，别人就不知道吗？,60.0
你这明显编的，印度女性地位低下，低下到女方出嫁，要给男方彩礼！！！所以有些印度家庭有女孩都掐死，溺死，就是女孩长大了也出不起彩礼，不如弄死算了。印度人的逻辑，不神经点，理解不了，连非洲最原始的土著部落都比印度文明！,75.0
这……种族歧视啊…反正我坚信只要是正常人，那么各种方面都是一样的，一样的智商，一样的肮脏，一样的自私，二三十年前黄种人和黑人在白人眼中还不是一样的东西，现在呢？ 黑人进不了应该和潜规则有关。,50.0
小心那个畜生的后续伤害或者纠缠要挟吧，如果能联系到你肯定会威胁你的，他当然清楚你不会告诉你丈夫的，所以坦白也可以保护自己。劝你不坦白的真是中国女性思维啊，被欺负都要忍气吞声，就这还是在宣扬女权的知乎。笑话一样,60.0
[尴尬]不支持远嫁，更不支持嫁这么远，在中国境内被家暴都管不着，跑黑人那里去，那种自愿过去的被打死我都不会觉得可怜，以前我也觉得种族歧视不好，现在生理性厌恶黑人，基因太强（参考法国），人均体味重，尤其厌恶黑人男的，,80.0
还有骗子遍地。尤其是江南区的整形美容机构专坑中国人。江南站11号口的缪慈美容院和12号口的椰美牙科，由同一家韩国人在深圳注册的营销公司做中文市场推广。价格看起来便宜，实际上缪慈打针类的项目稀释很多，皮肤管理类的也很粗糙敷衍，,50.0
无语，中国和国外国情那么大怎么拍?中国高中生都在高考哪有时间开party??第二季女权意识超高的noora到了中国会成那样?五美可能就是毫无演技的流量小花，真的不知道哪个Prick!提出来的，靠真的想骂人!!,60.0
你作为正常人这么做没问题啊，但是你不能保证你的同行都有你的素质，而且下面很多评论都抱怨了没素质顺风车司机做的极品实绩，并且最关键顺风车极品司机的概率高于专车快车，因为门槛低。就跟河南人的问题差不多。还是从业者出事的概率高于别的（没说全部只说比例）,50.0
怎么会没有关系呢，这就是因果关系，如果外地人遇到的东北人都是黑中介，插队没素质这种类型的，谁会对东北心生好感呢，也许他们代表不了广大黑土地的子民，就像国外的中国人也不能代表所有中国人一样，但外地人和外国人可不会这么想，这个关系是你想撇清也撇不了的,50.0
我是觉得这跟上海钓鱼执法事件在根本上有什么不同？人无完人，圣人从有历史以来才几个？何必再把这些人性毫无意义只能恶心一下人的 事情暴露出来？姜太公钓鱼愿者上钩，你是鱼还是姜太公是你自己的选择！,50.0
woc难道是我们湖北人的错吗？那如果疫情从她所在的省份开始就可以说她的错了？真的是不知道歧视湖北人的人是怎么想的，现在不是在传是因为军运会外国人带进来的病毒吗？自己国的人都歧视自家人，那还能指望外国人对我们有多友好呢？无语了[生气],50.0
大清都亡了这么多年了，没想到皇城根的这些人心理还是跪着的，还没站起来。是，我们平时是不敢在回民街吃猪肉，可那是一次次暴力事件和不平等压迫下迫不得已的妥协，而不是什么公序良俗甚至法律，而这些北京人，真是在心里就把这当做理所应当的事情了,50.0
欧美的死者都不算人，记得那个满欧洲告状的，告了几十年还是十几年，最终他女儿的仇也不算彻底报了，杀人者几乎都不会受到什么像样的惩罚，更不能阻止其再次犯罪。那个被跪杀的黑人，死了也就死了，凶手还是逍遥着。,75.0
屁股一把，我大锤，某傻逼山东小伙源氏，经常是，我上他跑回来，我顶盾他咻咻咻…全程指挥别人，一直在说没奶没奶没奶，输了就怪没奶…大锤拿输出铜杀人银的时候…我真的很怀疑我和你玩的是同样的游戏么！难度好大…,60.0
虽然黑人出过很多伟大的人物，但犯罪率相比其他人的确偏高，素质也偏低。当然也和现在环境有关，受鄙视受压迫，就养成了反抗斗争不羁的思想，然而无法向外部施力，只能通过内斗争夺缓解，环境越恶劣民风越彪悍，越受鄙视。,75.0
我生活在美国，我对黑人没有好感甚至达到了厌恶的程度，所有的犯罪几乎都与黑人有关，每天新闻里的抢劫总有黑人，而且美国的政策大多数是对黑人有利的，吃着政府的福利不工作还能以非常低的分数线进大学，这个种族真的达不到喜欢,100.0
你站在中国人的角度上考虑总觉得澳洲有一点点人搞种族歧视你就觉得受不了了说澳洲是种族主义国家，反而自己国家人均中华民族最强大最聪明外国都是垃圾黑皮白皮言论视而不见说明你也不过是个立场派屁股大于脑袋的双标人士而已,80.0
向来如此，就一定是对的吗？所以法律是一小部分人制定维护一小部分人的利益？民众连讨论的权力都没有？难道恶法不应该被废止应该继续存在？美洲曾经的黑人奴隶都在争取自己的权利，你却在宣扬当良民，日本人的良民你也当？,50.0
emmmm 额……你这个问题就像是什么呢 (非地域黑 非地域黑 非地域黑) 河南人是不是每个人都偷东西啊 东北人是不是人人脖子上挂大金链子啊 老人是不是每个人都倚老卖老啊 小孩子是不是每个人都是熊孩子啊 ……懂了吧,30.0
我见过中国女性和黑人生的孩子，没见过男的，只看到她带着娃来推拿，那孩子头发都是短短的小卷卷，完全的黑人基因覆盖黄色基因，周围人的眼光，心理不够强大的人真的受不了，中国人其实很歧视黑人的，知乎上有人问这个问题，一堆人都不看好,50.0
就像上回一个外国白人女孩穿了旗袍，亚裔就疯了似的敌视，说人家是歧视亚裔……… 其实只是女孩觉得旗袍好看想穿而已，非要有一堆人盯着她问，你懂旗袍是哪个国家的，代表了什么？有什么意义……之类的煞笔问题。,60.0
